deal_id,opp_id,arr_value,close_date,customer_segment,cac,renewal_flag
DEAL-0053,OPP-0244,22200.0,2024-10-14,SMB,7020.0,False
DEAL-0054,OPP-0245,95700.0,2025-12-12,Mid-Market,2710.0,False
DEAL-0055,OPP-0247,25700.0,2026-05-31,Mid-Market,3340.0,False
DEAL-0056,OPP-0248,37100.0,2026-04-04,Mid-Market,4370.0,True
DEAL-0057,OPP-0253,25800.0,2026-03-20,Mid-Market,7120.0,False
DEAL-0058,OPP-0255,18400.0,2026-05-31,SMB,7690.0,True
DEAL-0059,OPP-0256,9100.0,2025-09-21,SMB,3700.0,False
DEAL-0060,OPP-0257,48300.0,2025-10-17,Mid-Market,4990.0,True
DEAL-0061,OPP-0258,58300.0,2026-05-31,Mid-Market,5950.0,False
DEAL-0062,OPP-0259,168000.0,2025-12-06,Enterprise,5680.0,False
DEAL-0063,OPP-0268,142000.0,2025-03-29,Enterprise,1770.0,False
DEAL-0064,OPP-0269,66000.0,2025-11-24,Mid-Market,3480.0,False
DEAL-0065,OPP-0273,58100.0,2026-05-31,Mid-Market,4970.0,False
DEAL-0066,OPP-0275,35000.0,2026-05-30,Mid-Market,5630.0,True
DEAL-0067,OPP-0276,30900.0,2025-02-08,Mid-Market,5260.0,False
DEAL-0068,OPP-0277,40800.0,2026-04-29,Mid-Market,6740.0,True
DEAL-0069,OPP-0291,26400.0,2024-09-12,Mid-Market,11790.0,False
DEAL-0070,OPP-0295,37000.0,2025-02-11,Mid-Market,5420.0,False
DEAL-0071,OPP-0299,24200.0,2025-09-26,SMB,1360.0,True
DEAL-0072,OPP-0311,16900.0,2025-07-12,SMB,2940.0,False
DEAL-0073,OPP-0316,86700.0,2025-06-13,Mid-Market,7800.0,False
DEAL-0074,OPP-0320,26100.0,2026-05-31,Mid-Market,2590.0,False
DEAL-0075,OPP-0324,163200.0,2025-08-12,Enterprise,2370.0,False
DEAL-0076,OPP-0325,42000.0,2026-02-20,Mid-Market,9440.0,True
DEAL-0077,OPP-0329,52300.0,2026-05-31,Mid-Market,10630.0,True
DEAL-0078,OPP-0332,29000.0,2024-10-24,Mid-Market,2000.0,False
DEAL-0079,OPP-0341,42600.0,2026-04-03,Mid-Market,2330.0,False
DEAL-0080,OPP-0346,122000.0,2024-11-07,Enterprise,4510.0,False
DEAL-0081,OPP-0358,28300.0,2025-03-13,Mid-Market,2980.0,False
DEAL-0082,OPP-0359,24000.0,2026-05-31,SMB,2350.0,False
DEAL-0083,OPP-0360,38600.0,2024-09-04,Mid-Market,12010.0,True
DEAL-0084,OPP-0362,35700.0,2026-05-03,Mid-Market,2310.0,False
DEAL-0085,OPP-0368,51000.0,2024-11-04,Mid-Market,1800.0,False
DEAL-0086,OPP-0369,43400.0,2025-07-14,Mid-Market,10680.0,False
DEAL-0087,OPP-0370,25900.0,2025-08-12,Mid-Market,7230.0,True
DEAL-0088,OPP-0373,75500.0,2026-05-31,Mid-Market,2240.0,False
DEAL-0089,OPP-0374,175200.0,2026-05-31,Enterprise,3870.0,False
DEAL-0090,OPP-0375,17800.0,2026-02-09,SMB,3630.0,False
DEAL-0091,OPP-0376,9400.0,2025-02-23,SMB,7420.0,False
DEAL-0092,OPP-0380,27900.0,2025-10-21,Mid-Market,1660.0,False
DEAL-0093,OPP-0381,81900.0,2024-10-21,Mid-Market,1830.0,False
DEAL-0094,OPP-0383,66700.0,2024-10-25,Mid-Market,6160.0,False
DEAL-0095,OPP-0386,50100.0,2025-01-07,Mid-Market,4850.0,False
DEAL-0096,OPP-0388,144700.0,2025-03-30,Enterprise,8280.0,False
DEAL-0097,OPP-0392,114500.0,2025-05-31,Enterprise,5630.0,False
DEAL-0098,OPP-0398,204600.0,2026-04-30,Enterprise,2920.0,False
DEAL-0099,OPP-0408,104700.0,2025-11-19,Enterprise,2400.0,False
DEAL-0100,OPP-0409,38100.0,2025-11-23,Mid-Market,10370.0,False
DEAL-0101,OPP-0411,22000.0,2025-06-27,SMB,3750.0,False
DEAL-0102,OPP-0415,28800.0,2025-10-07,Mid-Market,2700.0,False
DEAL-0103,OPP-0419,157900.0,2025-03-11,Enterprise,1640.0,False
DEAL-0104,OPP-0423,82100.0,2026-01-20,Mid-Market,8000.0,False
DEAL-0105,OPP-0442,92900.0,2026-04-24,Mid-Market,8510.0,False
DEAL-0106,OPP-0448,50500.0,2025-09-18,Mid-Market,2160.0,True
DEAL-0107,OPP-0451,52700.0,2024-12-14,Mid-Market,6390.0,False
DEAL-0108,OPP-0452,58200.0,2025-11-24,Mid-Market,1150.0,False
DEAL-0109,OPP-0461,18800.0,2024-10-08,SMB,2020.0,True
DEAL-0110,OPP-0477,21900.0,2026-05-31,SMB,9900.0,False
DEAL-0111,OPP-0478,162900.0,2025-02-20,Enterprise,2440.0,False
DEAL-0112,OPP-0484,23400.0,2025-02-28,SMB,2110.0,False
DEAL-0113,OPP-0485,52400.0,2024-12-31,Mid-Market,3130.0,False
DEAL-0114,OPP-0491,38300.0,2025-07-27,Mid-Market,6640.0,False
DEAL-0115,OPP-0494,22700.0,2024-08-13,SMB,3260.0,False
DEAL-0116,OPP-0498,109000.0,2025-10-01,Enterprise,1820.0,False
DEAL-0117,OPP-0499,72700.0,2025-03-19,Mid-Market,7570.0,True
DEAL-0118,OPP-0502,71600.0,2026-02-26,Mid-Market,8740.0,False
DEAL-0119,OPP-0514,20500.0,2024-10-28,SMB,5270.0,False
DEAL-0120,OPP-0515,13800.0,2026-05-31,SMB,3940.0,True
DEAL-0121,OPP-0516,58300.0,2026-05-31,Mid-Market,6780.0,False
DEAL-0122,OPP-0522,66600.0,2025-07-04,Mid-Market,7750.0,True
DEAL-0123,OPP-0523,98900.0,2025-05-28,Mid-Market,2370.0,False
DEAL-0124,OPP-0536,13300.0,2026-05-31,SMB,1910.0,False
DEAL-0125,OPP-0538,22400.0,2026-03-21,SMB,6110.0,False
DEAL-0126,OPP-0539,50500.0,2026-05-31,Mid-Market,6330.0,False
DEAL-0127,OPP-0542,17200.0,2026-05-31,SMB,4970.0,False
