lead_id,created_date,lead_source,industry,company_size,region,lead_status
LD-0137,2024-09-30,Partner,FinTech,11-50,LATAM,Contacted
LD-0138,2024-11-08,Referral,Manufacturing,201-1000,North America,New
LD-0139,2025-01-04,Outbound SDR,Manufacturing,51-200,North America,Qualified
LD-0140,2024-08-17,Organic Search,Manufacturing,201-1000,North America,Contacted
LD-0141,2025-09-13,Referral,Professional Services,11-50,North America,Contacted
LD-0142,2025-06-18,Referral,FinTech,51-200,North America,New
LD-0143,2025-07-12,Partner,Manufacturing,1-10,North America,Contacted
LD-0144,2026-03-24,Referral,Manufacturing,11-50,EMEA,Contacted
LD-0145,2025-04-12,Referral,FinTech,11-50,EMEA,Qualified
LD-0146,2025-01-13,Paid Ads,Professional Services,11-50,EMEA,Qualified
LD-0147,2025-03-01,Paid Ads,SaaS,1-10,APAC,New
LD-0148,2026-01-05,Referral,Professional Services,51-200,North America,New
LD-0149,2025-06-21,Paid Ads,Manufacturing,11-50,APAC,Qualified
LD-0150,2024-10-02,Organic Search,SaaS,11-50,EMEA,New
LD-0151,2025-10-16,Event,E-Commerce,11-50,APAC,Contacted
LD-0152,2025-11-26,Event,SaaS,51-200,EMEA,Contacted
LD-0153,2024-11-30,Organic Search,Manufacturing,11-50,North America,Contacted
LD-0154,2025-07-12,Referral,Manufacturing,11-50,North America,Disqualified
LD-0155,2025-07-16,Organic Search,E-Commerce,51-200,North America,Qualified
LD-0156,2024-10-06,Outbound SDR,Manufacturing,1-10,North America,Disqualified
LD-0157,2024-06-07,Paid Ads,SaaS,201-1000,North America,Disqualified
LD-0158,2025-11-06,Outbound SDR,SaaS,1-10,North America,New
LD-0159,2025-08-23,Outbound SDR,FinTech,11-50,North America,New
LD-0160,2025-11-03,Outbound SDR,SaaS,1-10,LATAM,Contacted
LD-0161,2025-03-03,Organic Search,HealthTech,51-200,EMEA,Contacted
LD-0162,2025-06-11,Event,SaaS,11-50,EMEA,Contacted
LD-0163,2026-05-17,Organic Search,FinTech,201-1000,North America,New
LD-0164,2024-11-12,Organic Search,FinTech,11-50,EMEA,New
LD-0165,2025-09-19,Referral,Professional Services,51-200,APAC,Contacted
LD-0166,2024-09-05,Paid Ads,SaaS,11-50,EMEA,Qualified
LD-0167,2024-07-18,Event,Professional Services,1-10,EMEA,Qualified
LD-0168,2026-04-29,Event,FinTech,11-50,EMEA,Disqualified
LD-0169,2024-09-03,Paid Ads,FinTech,51-200,North America,New
LD-0170,2025-09-22,Partner,HealthTech,11-50,EMEA,Contacted
LD-0171,2025-06-10,Paid Ads,FinTech,1000+,LATAM,Disqualified
LD-0172,2026-01-11,Referral,SaaS,51-200,North America,Qualified
LD-0173,2025-07-04,Paid Ads,HealthTech,1000+,North America,Qualified
LD-0174,2025-10-22,Partner,SaaS,11-50,North America,Contacted
LD-0175,2026-03-14,Organic Search,FinTech,201-1000,North America,New
LD-0176,2026-01-26,Organic Search,HealthTech,51-200,LATAM,Disqualified
LD-0177,2025-11-09,Paid Ads,FinTech,51-200,EMEA,Qualified
LD-0178,2024-09-27,Partner,Manufacturing,1000+,North America,Contacted
LD-0179,2024-10-02,Event,SaaS,51-200,North America,Contacted
LD-0180,2025-05-29,Outbound SDR,Professional Services,201-1000,North America,Contacted
LD-0181,2025-09-24,Event,Manufacturing,51-200,North America,New
LD-0182,2025-09-30,Event,Professional Services,1-10,EMEA,Qualified
LD-0183,2025-12-26,Referral,Manufacturing,51-200,APAC,Contacted
LD-0184,2024-08-15,Paid Ads,SaaS,11-50,EMEA,New
LD-0185,2024-10-05,Outbound SDR,HealthTech,201-1000,North America,Contacted
LD-0186,2024-09-18,Outbound SDR,SaaS,201-1000,EMEA,Disqualified
LD-0187,2025-06-30,Paid Ads,Manufacturing,1-10,EMEA,Contacted
LD-0188,2025-09-06,Organic Search,E-Commerce,1-10,North America,Contacted
LD-0189,2024-08-24,Outbound SDR,SaaS,1-10,EMEA,Qualified
LD-0190,2026-02-24,Paid Ads,Professional Services,11-50,EMEA,Qualified
LD-0191,2025-01-08,Partner,SaaS,1-10,APAC,Qualified
LD-0192,2025-09-25,Paid Ads,HealthTech,51-200,North America,Disqualified
LD-0193,2025-11-30,Organic Search,E-Commerce,51-200,North America,New
LD-0194,2024-06-27,Event,SaaS,201-1000,EMEA,Disqualified
LD-0195,2026-02-21,Organic Search,E-Commerce,11-50,North America,Disqualified
LD-0196,2026-05-09,Organic Search,Manufacturing,11-50,North America,Contacted
LD-0197,2026-04-30,Referral,SaaS,1-10,APAC,Qualified
LD-0198,2024-09-10,Event,HealthTech,201-1000,North America,New
LD-0199,2025-03-14,Organic Search,SaaS,1-10,North America,Contacted
LD-0200,2024-11-17,Paid Ads,E-Commerce,1-10,LATAM,New
LD-0201,2025-04-25,Outbound SDR,SaaS,1-10,EMEA,New
LD-0202,2026-05-12,Partner,Professional Services,201-1000,EMEA,Disqualified
LD-0203,2025-12-09,Referral,Professional Services,1-10,EMEA,New
LD-0204,2025-12-15,Organic Search,SaaS,51-200,North America,Qualified
LD-0205,2025-04-04,Organic Search,FinTech,51-200,North America,Contacted
LD-0206,2026-04-14,Organic Search,E-Commerce,51-200,EMEA,Contacted
LD-0207,2026-04-02,Organic Search,E-Commerce,1-10,North America,Contacted
LD-0208,2026-01-10,Outbound SDR,HealthTech,1-10,North America,Contacted
LD-0209,2026-01-15,Organic Search,SaaS,11-50,North America,Qualified
LD-0210,2025-09-19,Referral,SaaS,1-10,APAC,Disqualified
LD-0211,2024-08-09,Outbound SDR,Professional Services,51-200,North America,Contacted
LD-0212,2024-12-25,Referral,HealthTech,11-50,APAC,Disqualified
LD-0213,2025-12-13,Organic Search,Professional Services,11-50,North America,Qualified
LD-0214,2025-01-25,Event,HealthTech,1-10,EMEA,Qualified
LD-0215,2024-10-04,Outbound SDR,Professional Services,51-200,North America,New
LD-0216,2026-04-22,Outbound SDR,SaaS,1-10,North America,New
LD-0217,2025-05-23,Organic Search,SaaS,51-200,EMEA,Disqualified
LD-0218,2026-02-18,Organic Search,Professional Services,1-10,EMEA,Contacted
LD-0219,2024-12-25,Partner,Professional Services,1000+,North America,Contacted
LD-0220,2025-02-18,Paid Ads,FinTech,51-200,North America,Qualified
LD-0221,2025-02-06,Paid Ads,FinTech,1-10,North America,Contacted
LD-0222,2025-02-28,Referral,HealthTech,1-10,North America,Qualified
LD-0223,2025-04-16,Outbound SDR,FinTech,11-50,EMEA,Contacted
LD-0224,2025-01-04,Partner,SaaS,1-10,North America,Disqualified
LD-0225,2026-01-15,Paid Ads,Professional Services,1-10,EMEA,New
LD-0226,2025-01-24,Partner,SaaS,201-1000,North America,New
LD-0227,2025-04-18,Organic Search,E-Commerce,51-200,EMEA,Qualified
LD-0228,2026-02-18,Referral,SaaS,1-10,North America,New
LD-0229,2025-04-15,Outbound SDR,SaaS,51-200,North America,Disqualified
LD-0230,2024-06-08,Organic Search,E-Commerce,11-50,North America,Qualified
LD-0231,2024-06-01,Organic Search,FinTech,1000+,APAC,New
LD-0232,2025-04-14,Paid Ads,E-Commerce,1-10,EMEA,New
LD-0233,2025-09-16,Partner,SaaS,51-200,APAC,Disqualified
LD-0234,2026-04-19,Referral,Professional Services,51-200,North America,Qualified
LD-0235,2024-09-04,Partner,Manufacturing,1-10,North America,Disqualified
LD-0236,2025-07-01,Event,Professional Services,1-10,North America,New
LD-0237,2024-12-28,Referral,SaaS,11-50,North America,Disqualified
LD-0238,2025-04-25,Outbound SDR,FinTech,201-1000,EMEA,Contacted
LD-0239,2025-04-19,Organic Search,FinTech,51-200,APAC,Qualified
LD-0240,2025-01-14,Organic Search,HealthTech,51-200,EMEA,Contacted
LD-0241,2024-06-14,Event,FinTech,201-1000,EMEA,New
LD-0242,2024-07-24,Outbound SDR,SaaS,201-1000,North America,Disqualified
LD-0243,2025-06-16,Organic Search,FinTech,11-50,North America,Disqualified
LD-0244,2024-11-11,Referral,SaaS,11-50,APAC,Contacted
LD-0245,2025-01-25,Outbound SDR,FinTech,51-200,North America,Disqualified
LD-0246,2024-08-05,Event,SaaS,11-50,North America,New
LD-0247,2024-07-07,Outbound SDR,SaaS,201-1000,LATAM,New
LD-0248,2024-09-01,Paid Ads,E-Commerce,1-10,LATAM,New
LD-0249,2025-03-03,Paid Ads,FinTech,1-10,EMEA,Contacted
LD-0250,2024-09-28,Paid Ads,FinTech,201-1000,North America,New
LD-0251,2024-11-16,Outbound SDR,HealthTech,11-50,APAC,Contacted
LD-0252,2025-01-07,Event,Manufacturing,1-10,North America,New
LD-0253,2024-12-30,Paid Ads,FinTech,1-10,North America,Qualified
LD-0254,2024-06-09,Paid Ads,E-Commerce,51-200,North America,Qualified
LD-0255,2024-08-25,Organic Search,Professional Services,201-1000,APAC,Qualified
LD-0256,2026-04-24,Outbound SDR,HealthTech,1-10,APAC,New
LD-0257,2025-09-30,Event,Professional Services,1-10,EMEA,Qualified
LD-0258,2024-08-30,Organic Search,Manufacturing,11-50,North America,New
LD-0259,2024-12-24,Organic Search,SaaS,1000+,EMEA,Qualified
LD-0260,2025-03-07,Referral,FinTech,11-50,North America,Contacted
LD-0261,2026-03-23,Organic Search,E-Commerce,1000+,APAC,Contacted
LD-0262,2026-03-04,Event,Professional Services,201-1000,North America,New
LD-0263,2025-12-14,Paid Ads,HealthTech,11-50,North America,Qualified
LD-0264,2024-08-17,Organic Search,SaaS,201-1000,EMEA,Disqualified
LD-0265,2025-05-24,Partner,HealthTech,51-200,North America,Qualified
LD-0266,2025-05-19,Organic Search,SaaS,11-50,APAC,Disqualified
LD-0267,2025-09-08,Paid Ads,Manufacturing,11-50,North America,Disqualified
LD-0268,2026-02-06,Organic Search,HealthTech,201-1000,APAC,New
LD-0269,2025-01-20,Organic Search,E-Commerce,201-1000,North America,Qualified
LD-0270,2025-07-12,Organic Search,Manufacturing,51-200,North America,Contacted
LD-0271,2024-12-10,Organic Search,E-Commerce,1000+,EMEA,Contacted
LD-0272,2024-11-01,Organic Search,E-Commerce,11-50,North America,New
LD-0273,2025-01-15,Organic Search,Manufacturing,201-1000,EMEA,Disqualified
LD-0274,2025-11-19,Referral,Manufacturing,201-1000,North America,Qualified
LD-0275,2025-04-16,Outbound SDR,Manufacturing,1-10,North America,New
LD-0276,2025-10-10,Paid Ads,SaaS,1-10,EMEA,Contacted
LD-0277,2025-10-17,Paid Ads,HealthTech,11-50,North America,Contacted
LD-0278,2025-02-20,Referral,SaaS,201-1000,EMEA,Qualified
LD-0279,2026-04-28,Event,Manufacturing,11-50,APAC,Disqualified
LD-0280,2024-07-04,Event,E-Commerce,51-200,North America,Contacted
LD-0281,2026-03-16,Organic Search,FinTech,1-10,APAC,Contacted
LD-0282,2024-06-06,Organic Search,SaaS,11-50,North America,Qualified
LD-0283,2025-03-06,Organic Search,FinTech,51-200,North America,Contacted
LD-0284,2026-01-23,Paid Ads,E-Commerce,1-10,North America,Contacted
LD-0285,2025-10-12,Referral,SaaS,201-1000,APAC,New
LD-0286,2025-01-21,Paid Ads,SaaS,1-10,EMEA,New
LD-0287,2026-03-08,Organic Search,Professional Services,201-1000,EMEA,Contacted
LD-0288,2024-09-09,Paid Ads,Manufacturing,1-10,LATAM,Disqualified
LD-0289,2025-10-02,Referral,SaaS,1000+,North America,Contacted
LD-0290,2025-06-14,Organic Search,FinTech,51-200,APAC,New
LD-0291,2024-10-30,Event,Professional Services,1-10,EMEA,Qualified
LD-0292,2026-04-03,Organic Search,E-Commerce,1-10,LATAM,Disqualified
LD-0293,2025-12-11,Partner,E-Commerce,1-10,APAC,Contacted
LD-0294,2024-06-07,Organic Search,FinTech,51-200,LATAM,New
LD-0295,2024-08-03,Event,FinTech,201-1000,North America,Qualified
LD-0296,2024-07-11,Event,SaaS,11-50,APAC,Contacted
LD-0297,2025-03-30,Partner,E-Commerce,11-50,APAC,Qualified
LD-0298,2025-04-01,Event,SaaS,51-200,EMEA,New
LD-0299,2025-11-10,Outbound SDR,SaaS,51-200,North America,New
LD-0300,2025-10-06,Outbound SDR,E-Commerce,51-200,LATAM,Contacted
LD-0301,2024-06-11,Outbound SDR,Professional Services,11-50,North America,Qualified
LD-0302,2025-05-14,Organic Search,Manufacturing,51-200,EMEA,Contacted
LD-0303,2025-12-25,Referral,HealthTech,1000+,EMEA,New
LD-0304,2026-03-17,Referral,HealthTech,11-50,North America,Contacted
LD-0305,2024-12-30,Event,FinTech,1-10,EMEA,Qualified
LD-0306,2024-07-03,Referral,FinTech,1-10,North America,New
LD-0307,2024-09-20,Paid Ads,HealthTech,51-200,EMEA,Qualified
LD-0308,2025-02-03,Outbound SDR,FinTech,11-50,APAC,Qualified
LD-0309,2025-04-20,Paid Ads,E-Commerce,1000+,North America,Contacted
LD-0310,2025-02-12,Organic Search,Professional Services,51-200,EMEA,Disqualified
LD-0311,2024-08-06,Referral,Professional Services,51-200,North America,Disqualified
LD-0312,2025-02-03,Paid Ads,SaaS,201-1000,APAC,Contacted
LD-0313,2024-12-29,Organic Search,FinTech,11-50,LATAM,New
LD-0314,2025-05-22,Paid Ads,SaaS,201-1000,North America,Contacted
LD-0315,2024-07-28,Paid Ads,FinTech,1-10,EMEA,New
LD-0316,2025-12-29,Paid Ads,FinTech,51-200,EMEA,Contacted
LD-0317,2025-04-01,Paid Ads,SaaS,1000+,EMEA,Disqualified
LD-0318,2025-01-18,Outbound SDR,Manufacturing,201-1000,EMEA,Disqualified
LD-0319,2026-03-23,Paid Ads,HealthTech,201-1000,EMEA,Contacted
LD-0320,2025-11-25,Partner,Professional Services,11-50,EMEA,Contacted
LD-0321,2024-09-08,Event,SaaS,201-1000,North America,New
LD-0322,2024-09-15,Referral,SaaS,51-200,North America,Contacted
LD-0323,2024-06-02,Paid Ads,FinTech,51-200,APAC,New
LD-0324,2025-07-14,Referral,SaaS,1-10,North America,Disqualified
LD-0325,2025-02-14,Event,SaaS,1-10,EMEA,Disqualified
LD-0326,2025-03-01,Outbound SDR,Professional Services,51-200,North America,New
LD-0327,2025-06-07,Event,SaaS,1-10,APAC,Qualified
LD-0328,2025-06-29,Referral,SaaS,51-200,EMEA,Contacted
LD-0329,2024-06-01,Outbound SDR,HealthTech,201-1000,North America,Qualified
LD-0330,2024-08-18,Paid Ads,HealthTech,201-1000,North America,Contacted
LD-0331,2025-12-28,Outbound SDR,E-Commerce,1-10,North America,New
LD-0332,2026-04-27,Organic Search,FinTech,1000+,LATAM,Qualified
LD-0333,2026-02-01,Outbound SDR,Manufacturing,1-10,EMEA,New
LD-0334,2026-03-23,Event,SaaS,11-50,EMEA,Qualified
LD-0335,2025-05-04,Organic Search,FinTech,201-1000,APAC,New
LD-0336,2026-01-24,Outbound SDR,E-Commerce,1-10,North America,Qualified
LD-0337,2026-03-06,Organic Search,Manufacturing,1-10,North America,Qualified
LD-0338,2026-03-13,Outbound SDR,FinTech,1-10,North America,New
LD-0339,2024-09-17,Organic Search,HealthTech,11-50,North America,Contacted
LD-0340,2024-09-15,Partner,SaaS,201-1000,EMEA,Qualified
LD-0341,2025-03-21,Organic Search,SaaS,1-10,APAC,New
LD-0342,2025-06-03,Partner,SaaS,1-10,APAC,Contacted
LD-0343,2026-04-30,Event,E-Commerce,51-200,APAC,Qualified
LD-0344,2025-01-18,Referral,FinTech,11-50,North America,Contacted
LD-0345,2026-01-28,Outbound SDR,E-Commerce,51-200,North America,Qualified
LD-0346,2026-03-09,Outbound SDR,SaaS,1000+,EMEA,Contacted
LD-0347,2026-05-05,Partner,Manufacturing,51-200,LATAM,Qualified
LD-0348,2024-10-17,Paid Ads,Manufacturing,201-1000,EMEA,New
LD-0349,2024-11-24,Referral,SaaS,11-50,EMEA,New
LD-0350,2024-11-08,Organic Search,SaaS,201-1000,EMEA,New
LD-0351,2025-11-18,Outbound SDR,SaaS,1-10,APAC,Disqualified
LD-0352,2025-10-14,Organic Search,Manufacturing,1-10,APAC,Disqualified
LD-0353,2025-03-24,Referral,SaaS,51-200,APAC,Qualified
LD-0354,2024-08-04,Referral,HealthTech,1-10,North America,New
LD-0355,2025-06-15,Referral,FinTech,201-1000,North America,Contacted
LD-0356,2025-11-16,Referral,Manufacturing,51-200,EMEA,Qualified
LD-0357,2025-05-12,Outbound SDR,HealthTech,1000+,North America,Qualified
LD-0358,2024-12-13,Outbound SDR,HealthTech,11-50,LATAM,New
LD-0359,2025-08-06,Referral,Professional Services,11-50,EMEA,Disqualified
LD-0360,2025-09-25,Referral,SaaS,51-200,EMEA,New
LD-0361,2025-08-06,Partner,Manufacturing,11-50,North America,New
LD-0362,2026-02-27,Organic Search,SaaS,51-200,EMEA,Disqualified
LD-0363,2025-01-15,Organic Search,HealthTech,51-200,EMEA,Contacted
LD-0364,2025-08-19,Organic Search,Professional Services,1000+,North America,Contacted
LD-0365,2026-02-14,Outbound SDR,E-Commerce,51-200,APAC,Contacted
LD-0366,2024-11-03,Paid Ads,E-Commerce,1-10,North America,Disqualified
LD-0367,2024-12-23,Outbound SDR,SaaS,11-50,North America,New
LD-0368,2024-07-06,Outbound SDR,FinTech,51-200,North America,Qualified
LD-0369,2025-03-01,Paid Ads,FinTech,1-10,EMEA,Contacted
LD-0370,2024-07-03,Event,HealthTech,11-50,EMEA,New
LD-0371,2025-11-27,Outbound SDR,HealthTech,11-50,APAC,Contacted
LD-0372,2024-08-04,Paid Ads,FinTech,1-10,North America,Contacted
LD-0373,2025-10-18,Paid Ads,FinTech,11-50,LATAM,New
LD-0374,2025-07-28,Paid Ads,SaaS,1-10,EMEA,Contacted
LD-0375,2026-05-22,Organic Search,FinTech,51-200,North America,Qualified
LD-0376,2025-02-09,Organic Search,SaaS,1-10,North America,Contacted
LD-0377,2025-02-07,Partner,Professional Services,51-200,North America,Qualified
